,date,week,mem_tot,mem_va,mem_bt,mem_ot,mem_hj,lunch_num,dinner_num,lunch_tem,lunch_rain,dinner_tem,dinner_rain,mem_poss,month,day,lunch_ratio,dinner_ratio,holi_be,holi_af,summer1,year_end
0,2016-02-01,월,2601.0,50.0,150.0,238.0,0.0,1039.0,331.0,3.0,0.0,0.9,0.0,2401.0,2.0,1.0,0.4327363598500625,0.13785922532278216,0.0,1.0,0.0,0.0
1,2016-02-02,화,2601.0,50.0,173.0,319.0,0.0,867.0,560.0,1.7,0.0,2.4,0.0,2378.0,2.0,2.0,0.36459209419680405,0.23549201009251472,0.0,0.0,0.0,0.0
2,2016-02-03,수,2601.0,56.0,180.0,111.0,0.0,1017.0,573.0,3.2,0.0,3.0,0.0,2365.0,2.0,3.0,0.43002114164904864,0.24228329809725158,0.0,0.0,0.0,0.0
3,2016-02-04,목,2601.0,104.0,220.0,355.0,0.0,978.0,525.0,3.7,0.0,4.0,0.0,2277.0,2.0,4.0,0.4295125164690382,0.230566534914361,0.0,0.0,0.0,0.0
4,2016-02-05,금,2601.0,278.0,181.0,34.0,0.0,925.0,330.0,6.3,0.0,5.7,0.0,2142.0,2.0,5.0,0.43183940242763774,0.15406162464985995,1.0,0.0,0.0,0.0
5,2016-02-11,목,2601.0,383.0,143.0,417.0,0.0,1045.0,550.0,10.7,0.0,11.8,0.0,2075.0,2.0,11.0,0.5036144578313253,0.26506024096385544,0.0,1.0,0.0,0.0
6,2016-02-12,금,2601.0,389.0,156.0,93.0,0.0,909.0,598.0,7.7,9.4,11.7,20.4,2056.0,2.0,12.0,0.44212062256809337,0.2908560311284047,1.0,0.0,0.0,0.0
7,2016-02-15,월,2601.0,87.0,204.0,482.0,0.0,1268.0,672.0,0.0,0.0,0.1,0.0,2310.0,2.0,15.0,0.5489177489177489,0.2909090909090909,0.0,1.0,0.0,0.0
8,2016-02-16,화,2601.0,72.0,236.0,526.0,0.0,1014.0,523.0,3.6,0.0,3.8,0.0,2293.0,2.0,16.0,0.4422154382904492,0.22808547754034017,0.0,0.0,0.0,0.0
9,2016-02-17,수,2601.0,78.0,250.0,23.0,0.0,916.0,588.0,5.0,0.0,5.1,0.0,2273.0,2.0,17.0,0.4029916410030796,0.258688957325121,0.0,0.0,0.0,0.0
10,2016-02-18,목,2601.0,77.0,254.0,367.0,0.0,910.0,489.0,6.8,0.0,7.7,0.0,2270.0,2.0,18.0,0.4008810572687225,0.21541850220264316,0.0,0.0,0.0,0.0
11,2016-02-19,금,2601.0,145.0,252.0,69.0,0.0,763.0,597.0,9.5,0.0,9.0,0.0,2204.0,2.0,19.0,0.34618874773139746,0.2708711433756806,1.0,0.0,0.0,0.0
12,2016-02-22,월,2601.0,90.0,207.0,434.0,0.0,1298.0,645.0,5.2,0.0,6.1,0.0,2304.0,2.0,22.0,0.5633680555555556,0.2799479166666667,0.0,1.0,0.0,0.0
13,2016-02-23,화,2601.0,57.0,237.0,488.0,0.0,899.0,610.0,10.3,0.0,8.3,0.0,2307.0,2.0,23.0,0.38968357173818813,0.26441265713047246,0.0,0.0,0.0,0.0
14,2016-02-24,수,2601.0,54.0,232.0,14.0,0.0,1022.0,514.0,4.6,0.0,4.0,0.0,2315.0,2.0,24.0,0.44146868250539956,0.22203023758099352,0.0,0.0,0.0,0.0
15,2016-02-25,목,2601.0,56.0,261.0,335.0,0.0,917.0,531.0,4.7,0.0,5.3,0.0,2284.0,2.0,25.0,0.40148861646234674,0.23248686514886166,0.0,0.0,0.0,0.0
16,2016-02-26,금,2601.0,144.0,278.0,42.0,0.0,766.0,585.0,7.5,0.0,6.7,0.0,2179.0,2.0,26.0,0.35153740247820103,0.2684717760440569,1.0,0.0,0.0,0.0
17,2016-02-29,월,2601.0,595.0,168.0,110.0,0.0,869.0,344.0,1.2,0.0,-1.1,0.0,1838.0,2.0,29.0,0.47279651795429817,0.18715995647442873,1.0,1.0,0.0,0.0
18,2016-03-02,수,2624.0,127.0,182.0,261.0,0.0,1127.0,631.0,8.0,0.0,9.2,0.0,2315.0,3.0,2.0,0.4868250539956803,0.27257019438444924,0.0,1.0,0.0,0.0
19,2016-03-03,목,2624.0,61.0,224.0,351.0,0.0,1000.0,473.0,11.6,0.0,13.1,0.0,2339.0,3.0,3.0,0.4275331338178709,0.20222317229585293,0.0,0.0,0.0,0.0
